City_Country,lat,lng,city,country
"Karamay, Xinjiang - China",45.5799,84.8892,Karamay,China
"Worcester, Massachusetts - United States",42.2705,-71.8079,Worcester,United States
"Kawachichō, Ōsaka - Japan",34.6794,135.6008,Kawachichō,Japan
"Shahe, Hebei - China",36.8549,114.5033,Shahe,China
"Gdańsk, Pomorskie - Poland",54.3475,18.6453,Gdańsk,Poland
"Sevastopol, Sevastopol, Misto - Ukraine",44.605,33.5225,Sevastopol,Ukraine
"Garoowe, Nugaal - Somalia",8.4,48.4667,Garoowe,Somalia
"Gaoping, Shanxi - China",35.798,112.924,Gaoping,China
"Villa Nueva, Guatemala - Guatemala",14.5269,-90.5875,Villa Nueva,Guatemala
"Dunhua, Jilin - China",43.3667,128.2333,Dunhua,China
"Lianran, Yunnan - China",24.919,102.478,Lianran,China
"Akhmīm, Sūhāj - Egypt",26.5667,31.75,Akhmīm,Egypt
"Şanlıurfa, Şanlıurfa - Turkey",37.1583,38.7917,Şanlıurfa,Turkey
"Az Zarqā’, Az Zarqā’ - Jordan",32.0833,36.1,Az Zarqā’,Jordan
"Mālegaon, Mahārāshtra - India",20.55,74.55,Mālegaon,India
"São José do Rio Prêto, São Paulo - Brazil",-20.8081,-49.3811,São José do Rio Prêto,Brazil
"Valletta, Valletta - Malta",35.8983,14.5125,Valletta,Malta
"Kolwezi, Lualaba - Congo (Kinshasa)",-10.7167,25.4667,Kolwezi,Congo (Kinshasa)
"Jāmnagar, Gujarāt - India",22.47,70.07,Jāmnagar,India
"Sylhet, Sylhet - Bangladesh",24.9,91.8667,Sylhet,Bangladesh
"Ananindeua, Pará - Brazil",-1.3658,-48.3719,Ananindeua,Brazil
"East London, Eastern Cape - South Africa",-33.0175,27.9047,East London,South Africa
"Berbera, Woqooyi Galbeed - Somalia",10.4356,45.0164,Berbera,Somalia
"Jiannan, Sichuan - China",31.3333,104.2,Jiannan,China
"Chiniot, Punjab - Pakistan",31.7194,72.9842,Chiniot,Pakistan
"Asunción, Asunción - Paraguay",-25.3,-57.6333,Asunción,Paraguay
"Ōita, Ōita - Japan",33.2333,131.6067,Ōita,Japan
"Nangong, Hebei - China",37.359,115.409,Nangong,China
"Bārdoli, Gujarāt - India",21.12,73.12,Bārdoli,India
"Eldoret, Uasin Gishu - Kenya",0.5167,35.2833,Eldoret,Kenya
"Bratislava, Bratislava - Slovakia",48.1439,17.1097,Bratislava,Slovakia
"Kurashiki, Okayama - Japan",34.585,133.7722,Kurashiki,Japan
"Al Jubayl, Ash Sharqīyah - Saudi Arabia",27.0,49.6544,Al Jubayl,Saudi Arabia
"Worthing, West Sussex - United Kingdom",50.8147,-0.3714,Worthing,United Kingdom
"Gaya, Bihār - India",24.75,85.01,Gaya,India
"Shekhupura, Punjab - Pakistan",31.7111,73.9878,Shekhupura,Pakistan
"Piura, Piura - Peru",-5.2,-80.6333,Piura,Peru
"Vila Velha, Espírito Santo - Brazil",-20.3364,-40.2936,Vila Velha,Brazil
"Ar Ruşayfah, Az Zarqā’ - Jordan",32.0178,36.0464,Ar Ruşayfah,Jordan
"Jiaojiangcun, Zhejiang - China",28.6804,121.45,Jiaojiangcun,China
"Laohekou, Hubei - China",32.359,111.684,Laohekou,China
"San Juan, San Juan - Argentina",-31.5342,-68.5261,San Juan,Argentina
"Mykolaiv, Mykolaivska Oblast - Ukraine",46.975,31.995,Mykolaiv,Ukraine
"Beian, Heilongjiang - China",48.25,126.5167,Beian,China
"Fujin, Heilongjiang - China",47.25,132.0333,Fujin,China
"Küçükçekmece, İstanbul - Turkey",41.0,28.8,Küçükçekmece,Turkey
"Mazār-e Sharīf, Balkh - Afghanistan",36.7,67.1167,Mazār-e Sharīf,Afghanistan
"Xiaoyi, Shanxi - China",36.0833,111.5167,Xiaoyi,China
"Balashikha, Moskovskaya Oblast’ - Russia",55.8167,37.9667,Balashikha,Russia
"Qingzhen, Guizhou - China",26.5704,106.4687,Qingzhen,China
"Tula, Tul’skaya Oblast’ - Russia",54.2,37.6167,Tula,Russia
"Ba‘qūbah, Diyālá - Iraq",33.75,44.6333,Ba‘qūbah,Iraq
"Katlehong, Gauteng - South Africa",-26.3333,28.15,Katlehong,South Africa
"Jiangshan, Zhejiang - China",28.7361,118.625,Jiangshan,China
"Buraydah, Al Qaşīm - Saudi Arabia",26.3333,43.9667,Buraydah,Saudi Arabia
"Surab, Balochistan - Pakistan",28.4925,66.2597,Surab,Pakistan
"Kupang, Nusa Tenggara Timur - Indonesia",-10.1702,123.6077,Kupang,Indonesia
"Ambattūr, Tamil Nādu - India",13.1143,80.1548,Ambattūr,India
"Nakhon Ratchasima, Nakhon Ratchasima - Thailand",14.975,102.1,Nakhon Ratchasima,Thailand
"Tân Uyên, Bình Dương - Vietnam",11.0508,106.7636,Tân Uyên,Vietnam
"Constantine, Constantine - Algeria",36.35,6.6,Constantine,Algeria
"Longjiang, Zhejiang - China",27.5819,120.5489,Longjiang,China
"Caxias do Sul, Rio Grande do Sul - Brazil",-29.1667,-51.1833,Caxias do Sul,Brazil
"Angeles City, Angeles - Philippines",15.1472,120.5847,Angeles City,Philippines
"Kuqa, Xinjiang - China",41.7156,82.9322,Kuqa,China
"Kanazawa, Ishikawa - Japan",36.5611,136.6564,Kanazawa,Japan
"Long Beach, California - United States",33.7977,-118.167,Long Beach,United States
"Port St. Lucie, Florida - United States",27.2796,-80.3884,Port St. Lucie,United States
"Manado Light, Sulawesi Utara - Indonesia",1.4931,124.8413,Manado Light,Indonesia
"Kartal, İstanbul - Turkey",40.8872,29.19,Kartal,Turkey
"Cranbourne, Victoria - Australia",-38.0996,145.2834,Cranbourne,Australia
"Jalgaon, Mahārāshtra - India",21.004,75.568,Jalgaon,India
"Porto Velho, Rondônia - Brazil",-8.7619,-63.9039,Porto Velho,Brazil
"Chhatarpur, Madhya Pradesh - India",24.55,79.3527,Chhatarpur,India
"Fukuyama, Hiroshima - Japan",34.4858,133.3622,Fukuyama,Japan
"Little Rock, Arkansas - United States",34.7256,-92.3577,Little Rock,United States
"Juba, Central Equatoria - South Sudan",4.85,31.6,Juba,South Sudan
"Lanús, Buenos Aires - Argentina",-34.7,-58.4,Lanús,Argentina
"Amagasaki, Hyōgo - Japan",34.7333,135.4,Amagasaki,Japan
"Kikwit, Kwilu - Congo (Kinshasa)",-5.0386,18.8181,Kikwit,Congo (Kinshasa)
"Pyeongtaek, Gyeonggi - Korea, South",36.9922,127.1128,Pyeongtaek,"Korea, South"
"Reno, Nevada - United States",39.5497,-119.8483,Reno,United States
"Kurnool, Andhra Pradesh - India",15.83,78.05,Kurnool,India
"Spokane, Washington - United States",47.6671,-117.433,Spokane,United States
"Marikina City, Marikina - Philippines",14.65,121.1,Marikina City,Philippines
"Jian’ou, Fujian - China",27.0333,118.3167,Jian’ou,China
"Huadian, Jilin - China",42.972,126.746,Huadian,China
"Melaka, Melaka - Malaysia",2.1944,102.2486,Melaka,Malaysia
"Manado, Sulawesi Utara - Indonesia",1.4931,124.8413,Manado,Indonesia
"Manizales, Caldas - Colombia",5.1,-75.55,Manizales,Colombia
"Bornova, İzmir - Turkey",38.4697,27.2211,Bornova,Turkey
"Minzhu, Jilin - China",43.7238,127.3448,Minzhu,China
"Demiryol, Batman - Turkey",37.887,41.132,Demiryol,Turkey
"Erköklü, Batman - Turkey",37.887,41.132,Erköklü,Turkey
"Kota Kinabalu, Sabah - Malaysia",5.975,116.0725,Kota Kinabalu,Malaysia
"Katsushika-ku, Tōkyō - Japan",35.7333,139.85,Katsushika-ku,Japan
"Madison, Wisconsin - United States",43.0822,-89.393,Madison,United States
"Santiago de Cuba, Santiago de Cuba - Cuba",20.0217,-75.8294,Santiago de Cuba,Cuba
"Udaipur, Rājasthān - India (24.58, 73.68)",24.58,73.68,Udaipur,India
"Kursk, Kurskaya Oblast’ - Russia",51.7167,36.1833,Kursk,Russia
"Mogi das Cruzes, São Paulo - Brazil",-23.5228,-46.1878,Mogi das Cruzes,Brazil
"Stavropol, Stavropol’skiy Kray - Russia",45.05,41.9833,Stavropol,Russia
"General Trias, Cavite - Philippines",14.38,120.88,General Trias,Philippines
"Sirājganj, Rājshāhi - Bangladesh",24.45,89.75,Sirājganj,Bangladesh
"Boise, Idaho - United States",43.6005,-116.2308,Boise,United States
"Bonita Springs, Florida - United States",26.3558,-81.7859,Bonita Springs,United States
"Mariupol, Donetska Oblast - Ukraine",47.0958,37.5494,Mariupol,Ukraine
"Eslāmshahr, Tehrān - Iran",35.5317,51.2247,Eslāmshahr,Iran
"Piraeus, Attikí - Greece",37.943,23.6469,Piraeus,Greece
"Barcelona, Anzoátegui - Venezuela",10.1403,-64.6833,Barcelona,Venezuela
"Tanbei, Henan - China",35.088,112.951,Tanbei,China
"Zürich, Zürich - Switzerland",47.3744,8.5411,Zürich,Switzerland
"Pingquan, Hebei - China",41.0042,118.6848,Pingquan,China
"Ado-Ekiti, Ekiti - Nigeria",7.6211,5.2214,Ado-Ekiti,Nigeria
"Baisha, Zhejiang - China",29.4896,119.337,Baisha,China
"Batman, Batman - Turkey",37.887,41.132,Batman,Turkey
"Yongji, Shanxi - China",34.867,110.448,Yongji,China
"Esenler, İstanbul - Turkey",41.0339,28.8903,Esenler,Turkey
"Rodriguez, Rizal - Philippines",14.72,121.12,Rodriguez,Philippines
"Ensenada, Baja California - Mexico",31.8578,-116.6058,Ensenada,Mexico
"Danjiangkou, Hubei - China",32.5401,111.5131,Danjiangkou,China
"Chauddagram, Chattogram - Bangladesh",23.2283,91.3133,Chauddagram,Bangladesh
"Kahramanmaraş, Kahramanmaraş - Turkey",37.5833,36.9333,Kahramanmaraş,Turkey
"San Nicolás de los Garza, Nuevo León - Mexico",25.75,-100.2833,San Nicolás de los Garza,Mexico
"Taoyuan District, Taoyuan - Taiwan",24.9913,121.3143,Taoyuan District,Taiwan
"Ndjili, Kinshasa - Congo (Kinshasa)",-4.4089,15.3775,Ndjili,Congo (Kinshasa)
"Mathura, Uttar Pradesh - India",27.4924,77.6737,Mathura,India
"Pasay City, Pasay - Philippines",14.55,121.0,Pasay City,Philippines
"Ning’an, Heilongjiang - China",44.341,129.483,Ning’an,China
"Halifax, Nova Scotia - Canada",44.6475,-63.5906,Halifax,Canada
"Fujisawa, Kanagawa - Japan",35.35,139.4667,Fujisawa,Japan
"Ulan-Ude, Buryatiya - Russia",51.8333,107.6,Ulan-Ude,Russia
"Denton, Texas - United States",33.2175,-97.1418,Denton,United States
"Laval, Quebec - Canada",45.5833,-73.75,Laval,Canada
"Jinchang, Gansu - China",38.5214,102.188,Jinchang,China
"Oakland, California - United States",37.7904,-122.2166,Oakland,United States
"Springfield, Massachusetts - United States",42.1155,-72.5395,Springfield,United States
"Guangming, Jilin - China",45.3357,122.7765,Guangming,China
"Augusta, Georgia - United States",33.3645,-82.0708,Augusta,United States
"Kâğıthane, İstanbul - Turkey",41.0719,28.9664,Kâğıthane,Turkey
"Sunch’ŏn, P’yŏngnam - Korea, North",39.4167,125.9333,Sunch’ŏn,"Korea, North"
"Sāngli, Mahārāshtra - India",16.853,74.583,Sāngli,India
"Avcılar, İstanbul - Turkey",40.9792,28.7214,Avcılar,Turkey
"Jeju, Jeju - Korea, South",33.513,126.523,Jeju,"Korea, South"
"Zhuangyuan, Shandong - China",37.3056,120.829,Zhuangyuan,China
"Davangere, Karnātaka - India",14.4666,75.9242,Davangere,India
"Machida, Tōkyō - Japan",35.5542,139.4431,Machida,Japan
"Sanghar, Sindh - Pakistan",26.0442,68.9536,Sanghar,Pakistan
"Al Marāghah, Sūhāj - Egypt",26.7,31.6,Al Marāghah,Egypt
"Bandung, Jawa Barat - Indonesia",-6.912,107.6097,Bandung,Indonesia
"Kissimmee, Florida - United States",28.3041,-81.4169,Kissimmee,United States
"Calicut, Kerala - India",11.2588,75.7804,Calicut,India
"Kenitra, Rabat-Salé-Kénitra - Morocco",34.25,-6.5833,Kenitra,Morocco
"Windhoek, Khomas - Namibia",-22.57,17.0836,Windhoek,Namibia
"Huili Chengguanzhen, Sichuan - China",26.6333,102.25,Huili Chengguanzhen,China
"Sidi Bouzid, Sidi Bouzid - Tunisia",35.0381,9.4858,Sidi Bouzid,Tunisia
"Bārāmati, Mahārāshtra - India",18.15,74.58,Bārāmati,India
"Ţanţā, Al Gharbīyah - Egypt",30.7833,31.0,Ţanţā,Egypt
"Ismailia, Al Ismā‘īlīyah - Egypt",30.5833,32.2667,Ismailia,Egypt
"Cusco, Cusco - Peru",-13.525,-71.9722,Cusco,Peru
"Veracruz, Veracruz - Mexico",19.1903,-96.1533,Veracruz,Mexico
"Sokoto, Sokoto - Nigeria",13.0622,5.2339,Sokoto,Nigeria
"Winston-Salem, North Carolina - United States",36.1029,-80.261,Winston-Salem,United States
"Kashiwa, Chiba - Japan",35.8676,139.9758,Kashiwa,Japan
"Al Bājūr, Al Minūfīyah - Egypt",30.4333,31.0569,Al Bājūr,Egypt
"Xunyang, Shaanxi - China",32.8341,109.3653,Xunyang,China
"Malatya, Malatya - Turkey",38.3486,38.3194,Malatya,Turkey
"Yan’an Beilu, Xinjiang - China",44.0144,87.2674,Yan’an Beilu,China
"Mothīhāri, Bihār - India",26.65,84.9167,Mothīhāri,India
"Aomori, Aomori - Japan",40.8228,140.7469,Aomori,Japan
"Akola, Mahārāshtra - India",20.7,77.0,Akola,India
"Mandaluyong City, Mandaluyong - Philippines",14.58,121.03,Mandaluyong City,Philippines
"Aves, Porto - Portugal",41.44,-8.3,Aves,Portugal
"Sihŭng, Gyeonggi - Korea, South",37.3799,126.8029,Sihŭng,"Korea, South"
"Burco, Togdheer - Somalia",9.5279,45.5345,Burco,Somalia
"Tver, Tverskaya Oblast’ - Russia",56.8625,35.9242,Tver,Russia
"Xalapa, Veracruz - Mexico",19.54,-96.9275,Xalapa,Mexico
"Buenaventura, Valle del Cauca - Colombia",3.8772,-77.0267,Buenaventura,Colombia
"London, Ontario - Canada",42.9836,-81.2497,London,Canada
"Piracicaba, São Paulo - Brazil",-22.7253,-47.6492,Piracicaba,Brazil
"Yogyakarta, Yogyakarta - Indonesia",-7.8014,110.3644,Yogyakarta,Indonesia
"Toyota, Aichi - Japan",35.0824,137.1563,Toyota,Japan
"Daloa, Sassandra-Marahoué - Côte d’Ivoire",6.8833,-6.45,Daloa,Côte d’Ivoire
"Agadir, Souss-Massa - Morocco",30.4333,-9.6,Agadir,Morocco
"Elazığ, Elazığ - Turkey",38.6744,39.2228,Elazığ,Turkey
"Uijeongbu, Gyeonggi - Korea, South",37.7486,127.0389,Uijeongbu,"Korea, South"
"Hpa-An, Kayin State - Burma",16.8906,97.6333,Hpa-An,Burma
"Rahimyar Khan, Punjab - Pakistan",28.42,70.3,Rahimyar Khan,Pakistan
"Ugep, Cross River - Nigeria",5.8,8.0833,Ugep,Nigeria
"Hailin, Heilongjiang - China",44.594,129.38,Hailin,China
"Mishan, Heilongjiang - China",45.5298,131.8466,Mishan,China
"Sarajevo, Bosnia and Herzegovina, Federation of - Bosnia and Herzegovina",43.8564,18.4131,Sarajevo,Bosnia and Herzegovina
"Seremban, Negeri Sembilan - Malaysia",2.7222,101.9417,Seremban,Malaysia
"Zhengjiatun, Jilin - China",43.5183,123.5027,Zhengjiatun,China
"Lecheng, Guangdong - China",25.1333,113.3333,Lecheng,China
"Campina Grande, Paraíba - Brazil",-7.2306,-35.8811,Campina Grande,Brazil
"Xicheng, Yunnan - China",23.3667,103.15,Xicheng,China
"Pencheng, Jiangxi - China",29.676,115.681,Pencheng,China
"Kowloon City, Hong Kong - Hong Kong",22.3282,114.1916,Kowloon City,Hong Kong
"Tirana, Tiranë - Albania",41.3289,19.8178,Tirana,Albania
"Kushtia, Khulna - Bangladesh",23.9101,89.1231,Kushtia,Bangladesh
"El Obeid, North Kordofan - Sudan",13.1833,30.2167,El Obeid,Sudan
"Mauá, São Paulo - Brazil",-23.6678,-46.4608,Mauá,Brazil
"Magnitogorsk, Chelyabinskaya Oblast’ - Russia",53.3833,59.0333,Magnitogorsk,Russia
"Da’an, Jilin - China",45.5,124.2833,Da’an,China
"Luhansk, Luhanska Oblast - Ukraine",48.5678,39.3031,Luhansk,Ukraine
"Xingren, Guizhou - China",25.435,105.1862,Xingren,China
"Takamatsu, Kagawa - Japan",34.35,134.05,Takamatsu,Japan
"Arusha, Arusha - Tanzania",-3.3667,36.6833,Arusha,Tanzania
"Fenyang, Shanxi - China",37.2616,111.7699,Fenyang,China
"Ajdābiyā, Al Wāḩāt - Libya",30.7556,20.2253,Ajdābiyā,Libya
"Callao, Callao - Peru",-12.0522,-77.1392,Callao,Peru
"Awsīm, Al Jīzah - Egypt",30.1167,31.1333,Awsīm,Egypt
"Shinagawa-ku, Tōkyō - Japan",35.6,139.7333,Shinagawa-ku,Japan
"Paju, Gyeonggi - Korea, South",37.8667,126.8,Paju,"Korea, South"
"Santa Rosa, Laguna - Philippines",14.32,121.12,Santa Rosa,Philippines
"Bettiah, Bihār - India",26.8014,84.5028,Bettiah,India
"Jhang City, Punjab - Pakistan",31.2694,72.3161,Jhang City,Pakistan
"Altındağ, Ankara - Turkey",39.9636,32.9033,Altındağ,Turkey
"Talā, Al Minūfīyah - Egypt",30.6801,30.9438,Talā,Egypt
"Stockton, California - United States",37.9765,-121.3109,Stockton,United States
"Ţalkhā, Ad Daqahlīyah - Egypt",31.0547,31.3756,Ţalkhā,Egypt
"Boa Vista, Roraima - Brazil",2.8194,-60.6714,Boa Vista,Brazil
"Banjul, Banjul - Gambia, The",13.4531,-16.5775,Banjul,"Gambia, The"
"Jayapura, Papua - Indonesia",-2.533,140.717,Jayapura,Indonesia
"Toyama, Toyama - Japan",36.6959,137.2137,Toyama,Japan
"Sanandaj, Kordestān - Iran",35.3114,46.9961,Sanandaj,Iran
"Khon Kaen, Khon Kaen - Thailand",16.4333,102.8333,Khon Kaen,Thailand
"Fangting, Sichuan - China",31.127,104.167,Fangting,China
"Linghai, Liaoning - China",41.1667,121.35,Linghai,China
"Shorāpur, Karnātaka - India",16.52,76.76,Shorāpur,India
"Koumassi, Abidjan - Côte d’Ivoire",5.3,-3.95,Koumassi,Côte d’Ivoire
"Betim, Minas Gerais - Brazil",-19.9678,-44.1978,Betim,Brazil
"Sochi, Krasnodarskiy Kray - Russia",43.5853,39.7203,Sochi,Russia
"Tinnevelly, Tamil Nādu - India",8.7136,77.7567,Tinnevelly,India
"Pasto, Nariño - Colombia",1.2078,-77.2772,Pasto,Colombia
"Syracuse, New York - United States",43.0407,-76.1437,Syracuse,United States
"Bellary, Karnātaka - India",15.1,76.9167,Bellary,India
"Bhāgalpur, Bihār - India",25.25,87.0,Bhāgalpur,India
"Kisumu, Kisumu - Kenya",-0.0833,34.7667,Kisumu,Kenya
"Zhangjiakou Shi Xuanhua Qu, Hebei - China",40.5944,115.0243,Zhangjiakou Shi Xuanhua Qu,China
"Maringá, Paraná - Brazil",-23.4,-51.9167,Maringá,Brazil
"Kocasinan, Kayseri - Turkey",38.7333,35.4833,Kocasinan,Turkey
"Mataram, Nusa Tenggara Barat - Indonesia",-8.5833,116.1167,Mataram,Indonesia
"Shashemenē, Oromīya - Ethiopia",7.2,38.6,Shashemenē,Ethiopia
"Zaria, Kaduna - Nigeria",11.0667,7.7,Zaria,Nigeria
"Kumi, Gyeongbuk - Korea, South",36.1195,128.3444,Kumi,"Korea, South"
"Wanyuan, Sichuan - China",31.9833,107.9667,Wanyuan,China
"Biñan, Laguna - Philippines",14.33,121.08,Biñan,Philippines
"Chattanooga, Tennessee - United States",35.066,-85.2481,Chattanooga,United States
"Jiexiu, Shanxi - China",37.027,111.917,Jiexiu,China
"Bağlar, Diyarbakır - Turkey",37.9167,40.1833,Bağlar,Turkey
"Padiāla, Punjab - India",30.802,76.593,Padiāla,India
"Đà Lạt, Lâm Đồng - Vietnam",11.9417,108.4383,Đà Lạt,Vietnam
"Sham Shui Po, Hong Kong - Hong Kong",22.3307,114.1622,Sham Shui Po,Hong Kong
"Santa Fe, Santa Fe - Argentina",-31.6333,-60.7,Santa Fe,Argentina
"Delhi Cantonment, Delhi - India",28.6,77.1333,Delhi Cantonment,India
"Cumaná, Sucre - Venezuela",10.4564,-64.1675,Cumaná,Venezuela
"Barura, Chattogram - Bangladesh",23.375,91.0583,Barura,Bangladesh
"Yüreğir, Adana - Turkey",36.9981,35.3439,Yüreğir,Turkey
"Nagasaki, Nagasaki - Japan",32.7447,129.8736,Nagasaki,Japan
"Mardan, Khyber Pakhtunkhwa - Pakistan",34.2012,72.0258,Mardan,Pakistan
"Hat Yai, Songkhla - Thailand",7.0167,100.4667,Hat Yai,Thailand
"Salt Lake City, West Bengal - India",22.61,88.4,Salt Lake City,India
"Qazvīn, Qazvīn - Iran",36.2894,50.0086,Qazvīn,Iran
"Etāwa, Madhya Pradesh - India",24.18,78.2,Etāwa,India
"Lancaster, Pennsylvania - United States",40.042,-76.3012,Lancaster,United States
"Sonīpat, Haryāna - India",28.99,77.022,Sonīpat,India
"Jundiaí, São Paulo - Brazil",-23.1858,-46.8839,Jundiaí,Brazil
"Ivanovo, Ivanovskaya Oblast’ - Russia",56.9967,40.9819,Ivanovo,Russia
"Greenville, South Carolina - United States",34.8354,-82.3646,Greenville,United States
"Toyonaka, Ōsaka - Japan",34.7833,135.4667,Toyonaka,Japan
"Bogra, Rājshāhi - Bangladesh",24.85,89.3667,Bogra,Bangladesh
"Öskemen, East Kazakhstan - Kazakhstan",49.9833,82.6167,Öskemen,Kazakhstan
"Gifu, Gifu - Japan",35.4232,136.7608,Gifu,Japan
"Maungdaw, Rakhine State - Burma",20.8167,92.3667,Maungdaw,Burma
"Jiangjiafan, Hubei - China",31.0238,111.9709,Jiangjiafan,China
"Durham, North Carolina - United States",35.9792,-78.9022,Durham,United States
"Bryansk, Bryanskaya Oblast’ - Russia",53.2333,34.3667,Bryansk,Russia
"Dera Ghazi Khan, Punjab - Pakistan",30.0331,70.64,Dera Ghazi Khan,Pakistan
"Anápolis, Goiás - Brazil",-16.3339,-48.9519,Anápolis,Brazil
"Pensacola, Florida - United States",30.4413,-87.1911,Pensacola,United States
"Miyazaki, Miyazaki - Japan",31.9078,131.4203,Miyazaki,Japan
"Quilon, Kerala - India",8.8932,76.6141,Quilon,India
"Mulangodi, Kerala - India",9.0,76.6167,Mulangodi,India
"Munro Turuttu, Kerala - India",9.0,76.6167,Munro Turuttu,India
"Hirakata, Ōsaka - Japan",34.8167,135.65,Hirakata,Japan
"Sandakan, Sabah - Malaysia",5.8333,118.1167,Sandakan,Malaysia
"Szczecin, Zachodniopomorskie - Poland",53.4325,14.5481,Szczecin,Poland
"Brno, Jihomoravský Kraj - Czechia",49.1925,16.6083,Brno,Czechia
"Surgut, Khanty-Mansiyskiy Avtonomnyy Okrug-Yugra - Russia",61.25,73.4333,Surgut,Russia
"Hejin, Shanxi - China",35.596,110.712,Hejin,China
"Fayetteville, Arkansas - United States",36.0714,-94.1661,Fayetteville,United States
"Betsiboka, Mahajanga - Madagascar",-16.95,46.83,Betsiboka,Madagascar
"Thiès, Thiès - Senegal",14.7833,-16.9167,Thiès,Senegal
"Arlington, Texas - United States",32.6998,-97.125,Arlington,United States
"Al Jahrā’, Al Jahrā’ - Kuwait",29.35,47.6833,Al Jahrā’,Kuwait
"Kaunas, Kauno Miestas - Lithuania",54.8972,23.8861,Kaunas,Lithuania
"Thanh Hóa, Thanh Hóa - Vietnam",19.8075,105.7764,Thanh Hóa,Vietnam
"Diadema, São Paulo - Brazil",-23.6861,-46.6106,Diadema,Brazil
"Lobito, Benguela - Angola",-12.3667,13.5333,Lobito,Angola
"Saurimo, Lunda-Sul - Angola",-9.65,20.4,Saurimo,Angola
"Yola, Adamawa - Nigeria",9.23,12.46,Yola,Nigeria
"Zhugang, Zhejiang - China",28.1358,121.2264,Zhugang,China
"Tāngāil, Dhaka - Bangladesh",24.2644,89.9181,Tāngāil,Bangladesh
"Nha Trang, Khánh Hòa - Vietnam",12.245,109.1917,Nha Trang,Vietnam
"Khayelitsha, Western Cape - South Africa",-34.0403,18.6778,Khayelitsha,South Africa
"Ad Dīwānīyah, Al Qādisīyah - Iraq",31.9892,44.9247,Ad Dīwānīyah,Iraq
"Nnewi, Anambra - Nigeria",6.0167,6.9167,Nnewi,Nigeria
"Hancheng, Shaanxi - China",35.4667,110.4333,Hancheng,China
"San-Pédro, Bas-Sassandra - Côte d’Ivoire",4.75,-6.6333,San-Pédro,Côte d’Ivoire
"Gujrat, Punjab - Pakistan",32.5739,74.0789,Gujrat,Pakistan
"Yokosuka, Kanagawa - Japan",35.2813,139.6721,Yokosuka,Japan
"Tieli, Heilongjiang - China",46.95,128.05,Tieli,China
"Asyūţ, Asyūţ - Egypt",27.1833,31.1667,Asyūţ,Egypt
"Gwoza, Borno - Nigeria",11.0861,13.6914,Gwoza,Nigeria
"Sampaloc, Manila - Philippines",14.6031,121.0022,Sampaloc,Philippines
"Saki, Oyo - Nigeria",8.6667,3.4,Saki,Nigeria
"Bologna, Emilia-Romagna - Italy",44.4939,11.3428,Bologna,Italy
"Aqtöbe, Aqtöbe - Kazakhstan",50.2836,57.2297,Aqtöbe,Kazakhstan
"Cilegon, Banten - Indonesia",-6.0027,106.0112,Cilegon,Indonesia
"Uvinza, Kigoma - Tanzania",-5.1069,30.3839,Uvinza,Tanzania
"Aurora, Colorado - United States",39.7083,-104.7237,Aurora,United States
"Carapicuíba, São Paulo - Brazil",-23.5192,-46.8358,Carapicuíba,Brazil
"Ḩafr al Bāţin, Ash Sharqīyah - Saudi Arabia",28.4342,45.9636,Ḩafr al Bāţin,Saudi Arabia
"Zanjān, Zanjān - Iran",36.6789,48.5056,Zanjān,Iran
"Petrolina, Pernambuco - Brazil",-9.3825,-40.5022,Petrolina,Brazil
"Bairia, Uttar Pradesh - India",25.7583,84.1489,Bairia,India
"Oyo, Oyo - Nigeria",7.85,3.933,Oyo,Nigeria
"Taytay, Rizal - Philippines",14.5692,121.1325,Taytay,Philippines
"Kisenzi, Kinshasa - Congo (Kinshasa)",-4.4094,15.3425,Kisenzi,Congo (Kinshasa)
"Bhātpāra, West Bengal - India",22.87,88.41,Bhātpāra,India
"Kūkatpalli, Telangāna - India",17.4849,78.4138,Kūkatpalli,India
"Manisa, Manisa - Turkey",38.6144,27.4292,Manisa,Turkey
"Sirūr, Mahārāshtra - India",18.83,74.38,Sirūr,India
"Tarlac City, Tarlac - Philippines",15.4869,120.59,Tarlac City,Philippines
"Okazaki, Aichi - Japan",34.9543,137.1744,Okazaki,Japan
"Lianzhou, Guangdong - China",24.781,112.377,Lianzhou,China
"Ceel Baraf, Shabeellaha Dhexe - Somalia",3.2073,45.7587,Ceel Baraf,Somalia
"Yidu, Hubei - China",30.378,111.45,Yidu,China
"Lingxi, Zhejiang - China",27.5036,120.3975,Lingxi,China
"Ilesa, Osun - Nigeria",7.6167,4.7167,Ilesa,Nigeria
"Kākināda, Andhra Pradesh - India",16.9661,82.255,Kākināda,India
"Savar, Dhaka - Bangladesh",23.85,90.26,Savar,Bangladesh
"Nuevo Laredo, Tamaulipas - Mexico",27.4861,-99.5069,Nuevo Laredo,Mexico
"Bawshar, Masqaţ - Oman",23.5333,58.3833,Bawshar,Oman
"Christchurch, Canterbury - New Zealand",-43.531,172.6365,Christchurch,New Zealand
"Gusau, Zamfara - Nigeria",12.15,6.6667,Gusau,Nigeria
"Zêtang, Tibet - China",29.238,91.771,Zêtang,China
"Palu, Sulawesi Tengah - Indonesia",-0.895,119.8594,Palu,Indonesia
"Canberra, Australian Capital Territory - Australia",-35.2931,149.1269,Canberra,Australia
"Minamisuita, Ōsaka - Japan",34.7594,135.5169,Minamisuita,Japan
"Tétouan, Tanger-Tétouan-Al Hoceïma - Morocco",35.5667,-5.3667,Tétouan,Morocco
